,mean,median,std,min,max
Соотношение матрица-наполнитель,2.930143467773219,2.90687765033521,0.9121774541093046,0.4657267649425636,5.4048197761021415
"Плотность, кг/м3",1975.6879742783412,1977.62165679058,73.1230128988073,1778.3271053007102,2167.20273608743
"модуль упругости, ГПа",739.5141600583592,739.664327697792,328.9583813071404,2.4369087535075,1654.4601385737328
"Количество отвердителя, м.%",110.56528559295607,110.564839894065,28.054043341209287,36.51319505659012,185.66066810509074
"Содержание эпоксидных групп,%_2",22.241764897262676,22.2307437560244,2.3880294764483057,15.57718502104257,28.99278301000118
"Температура вспышки, С_2",285.95017097166703,285.896812331237,40.49619571121194,178.16316129355107,393.90547204494294
"Поверхностная плотность, г/м2",482.60974152202584,451.86436518306,280.93146500196735,0.603739925153945,1332.8375748615078
"Модуль упругости при растяжении, ГПа",73.3270664906073,73.2688045943481,3.1071186059528673,65.07762785935806,81.52400254670003
"Прочность при растяжении, МПа",2466.850793999655,2459.52452600309,483.52626043953336,1188.8364417822172,3714.2071255870374
"Потребление смолы, г/м2",218.3892975614103,219.198882195134,59.3058215303829,62.84621449241624,374.2630297955743
"Угол нашивки, град",44.252199413489734,0.0,45.01579340761142,0.0,90.0
Шаг нашивки,6.897737384490852,6.9161438559491,2.559300028891815,0.0,13.845682536538867
Плотность нашивки,57.20457631497881,57.3419198469929,11.957825847329502,27.08058869124911,87.66358461459389
